date,topic_id,topic_weight
2011-01-01,0,0.022142383250624252
2011-01-01,1,0.011492881313166411
2011-01-01,2,0.1543144819632025
2011-01-01,3,0.2611315253873567
2011-01-01,4,0.0023975447414625647
2011-01-01,5,0.040984170675480346
2011-01-01,6,0.001488714423603893
2011-01-01,7,0.003355354977375364
2011-01-01,8,0.004624322439170083
2011-01-01,9,0.08531342172434705
2011-01-01,10,0.020473398158315257
2011-01-01,11,0.010511742856907248
2011-01-01,12,0.03753809683639216
2011-01-01,13,0.02991375502595415
2011-01-01,14,0.015396912902386792
2011-01-01,15,0.1934832119880807
2011-01-01,16,0.0023891133121822744
2011-01-01,17,0.004274959201855433
2011-01-01,18,0.0639468234238307
2011-01-01,19,0.034827185398306204
2011-01-02,0,0.0017279839866338072
2011-01-02,1,0.0514130064729687
2011-01-02,2,0.2571644811678021
2011-01-02,3,0.2211662603399618
2011-01-02,4,0.0007619716549502505
2011-01-02,5,0.0011148519252152725
2011-01-02,6,0.0004731332740050469
2011-01-02,7,0.0010663765062822652
2011-01-02,8,0.13225257789929298
2011-01-02,9,0.005094955257049881
2011-01-02,10,0.1499255453615739
2011-01-02,11,0.0010469565948529147
2011-01-02,12,0.0008185880487537902
2011-01-02,13,0.007167146815718609
2011-01-02,14,0.010845323536898724
2011-01-02,15,0.030928803811775443
2011-01-02,16,0.0007592920344154613
2011-01-02,17,0.00046596839494208954
2011-01-02,18,0.10614503802048667
2011-01-02,19,0.019661738896420474
2011-01-03,0,0.031598769688858726
2011-01-03,1,0.04194610330417248
2011-01-03,2,0.1764751161546139
2011-01-03,3,0.3418626185904774
2011-01-03,4,0.0010291409840895377
2011-01-03,5,0.037955618302943604
2011-01-03,6,0.0006390275019440848
2011-01-03,7,0.0037076575000586226
2011-01-03,8,0.04303563622560008
2011-01-03,9,0.00045060267953644044
2011-01-03,10,0.15077692579519095
2011-01-03,11,0.0036814284052760385
2011-01-03,12,0.010175122757626663
2011-01-03,13,0.0012400601197106252
2011-01-03,14,0.018877669417717027
2011-01-03,15,0.007461400545483725
2011-01-03,16,0.001025521810992686
2011-01-03,17,0.0006293504087847393
2011-01-03,18,0.009493042084218523
2011-01-03,19,0.11793918772270418
2011-01-04,0,0.03216270413779799
2011-01-04,1,0.15307550406047435
2011-01-04,2,0.051791986228064954
2011-01-04,3,0.1622215835539846
2011-01-04,4,0.031008073788098164
2011-01-04,5,0.0021288251571278134
2011-01-04,6,0.0009034545248524388
2011-01-04,7,0.18357745654771504
2011-01-04,8,0.05209178347145778
2011-01-04,9,0.0006370602650110228
2011-01-04,10,0.04038328577757911
2011-01-04,11,0.00718664661133826
2011-01-04,12,0.02528381954579652
2011-01-04,13,0.042544630638506116
2011-01-04,14,0.0763681343218237
2011-01-04,15,0.05927576334277472
2011-01-04,16,0.00571764349843896
2011-01-04,17,0.0008897730892716047
2011-01-04,18,0.051735291765581524
2011-01-04,19,0.021016579674305334
2011-01-05,0,0.037357524658952666
2011-01-05,1,0.17550859563230148
2011-01-05,2,0.025852547053543968
2011-01-05,3,0.037321877100725945
2011-01-05,4,0.009179744533486403
2011-01-05,5,0.10162456859199094
2011-01-05,6,0.0009238098109910283
2011-01-05,7,0.16826909160906267
2011-01-05,8,0.03145220068551859
2011-01-05,9,0.07407473824398328
2011-01-05,10,0.0016335033938779803
2011-01-05,11,0.003670069565001628
2011-01-05,12,0.002781666084523377
2011-01-05,13,0.0017926923353411839
2011-01-05,14,0.046480467411777256
2011-01-05,15,0.06326067320712662
2011-01-05,16,0.0014825451291190705
2011-01-05,17,0.08019382425048831
2011-01-05,18,0.03652365136473821
2011-01-05,19,0.10061620933744939
2011-01-06,0,0.20063218210682063
2011-01-06,1,0.07039828163878495
2011-01-06,2,0.12668383824160945
2011-01-06,3,0.12791701141473705
2011-01-06,4,0.05627213666506952
2011-01-06,5,0.003557159320070885
2011-01-06,6,0.0015096268815589326
2011-01-06,7,0.007999788675692709
2011-01-06,8,0.003265159279028394
2011-01-06,9,0.0033631454930366186
2011-01-06,10,0.0026693596508468955
2011-01-06,11,0.013595937578860249
2011-01-06,12,0.0026118698286868194
2011-01-06,13,0.0029294953437358482
2011-01-06,14,0.03701990098230354
2011-01-06,15,0.13360436205510198
2011-01-06,16,0.002422673967536098
2011-01-06,17,0.001486765893691815
2011-01-06,18,0.047997850836947735
2011-01-06,19,0.15406345414587994
2011-01-07,0,0.039783235425060404
2011-01-07,1,0.14176745259549495
2011-01-07,2,0.05107412852855416
2011-01-07,3,0.05254014322140586
2011-01-07,4,0.0008696303611649227
2011-01-07,5,0.0012723689602780128
2011-01-07,6,0.000539982107312135
2011-01-07,7,0.06859630596854976
2011-01-07,8,0.0011679227561043498
2011-01-07,9,0.016861986581006513
2011-01-07,10,0.15644131434962472
2011-01-07,11,0.006866593407806247
2011-01-07,12,0.003034863020311994
2011-01-07,13,0.0010478583075031298
2011-01-07,14,0.021357980662094125
2011-01-07,15,0.03504491046601905
2011-01-07,16,0.0008665721379904585
2011-01-07,17,0.09635277215255258
2011-01-07,18,0.20555092478651973
2011-01-07,19,0.09896305420464688
2011-01-08,0,0.024197064876803526
2011-01-08,1,0.0299939368920412
2011-01-08,2,0.017650509587179734
2011-01-08,3,0.15224774357860693
2011-01-08,4,0.02396599900844063
2011-01-08,5,0.00449418222579284
2011-01-08,6,0.008756120314594074
2011-01-08,7,0.12240462081298671
2011-01-08,8,0.004158938338986356
2011-01-08,9,0.0007717028525022917
2011-01-08,10,0.06823436667190724
2011-01-08,11,0.0024217040616499037
