month,topic_id,topic_weight
2011-01,0,0.05686480876922364
2011-01,1,0.05216365736021907
2011-01,2,0.07370257321556997
2011-01,3,0.09731490790518986
2011-01,4,0.02641519646870812
2011-01,5,0.03644902912979572
2011-01,6,0.027266529950968472
2011-01,7,0.08019616847910058
2011-01,8,0.08121577666967841
2011-01,9,0.009653775815126447
2011-01,10,0.10684145894465046
2011-01,11,0.013029365768817195
2011-01,12,0.015167588271477647
2011-01,13,0.008341190607559215
2011-01,14,0.02603573060291731
2011-01,15,0.09650142811998619
2011-01,16,0.0038686681764218403
2011-01,17,0.040142897575732285
2011-01,18,0.10421862173725781
2011-01,19,0.044610626431599826
2011-02,0,0.06677457621383166
2011-02,1,0.034635795539801756
2011-02,2,0.03398936586023173
2011-02,3,0.05681598087357677
2011-02,4,0.021760109163956886
2011-02,5,0.029612306781451818
2011-02,6,0.011147646618834082
2011-02,7,0.036936715982445904
2011-02,8,0.1935101385839544
2011-02,9,0.005768685219850709
2011-02,10,0.16925515595287063
2011-02,11,0.009943713271178257
2011-02,12,0.0196103470413487
2011-02,13,0.006967473966829299
2011-02,14,0.018478858004431886
2011-02,15,0.10740636015715918
2011-02,16,0.004465187821580733
2011-02,17,0.024488860902338608
2011-02,18,0.11632322292812132
2011-02,19,0.03210949911620599
2011-03,0,0.06838520266980931
2011-03,1,0.050150321259317274
2011-03,2,0.04590652037222855
2011-03,3,0.0951030157060542
2011-03,4,0.036846037058285
2011-03,5,0.025506579849159373
2011-03,6,0.011929258874274765
2011-03,7,0.022085166531052115
2011-03,8,0.17112205189865734
2011-03,9,0.005951827255286959
2011-03,10,0.06828953639685165
2011-03,11,0.006828627364688448
2011-03,12,0.019600152955957652
2011-03,13,0.016830770463266784
2011-03,14,0.022533088631086613
2011-03,15,0.0965697149057299
2011-03,16,0.02019795399160993
2011-03,17,0.05293107140859123
2011-03,18,0.13291579370928389
2011-03,19,0.030317308698809095
2011-04,0,0.05339661428408813
2011-04,1,0.04335169603470631
2011-04,2,0.056066152349763275
2011-04,3,0.1025239600218924
2011-04,4,0.03296162196545128
2011-04,5,0.027610765853699853
2011-04,6,0.003955535827539411
2011-04,7,0.02449448655748796
2011-04,8,0.17660712055205663
2011-04,9,0.005901702674275696
2011-04,10,0.061570119806636826
2011-04,11,0.005905057683571697
2011-04,12,0.042237346730053346
2011-04,13,0.03062928687305435
2011-04,14,0.03447879284113301
2011-04,15,0.07415332962723743
2011-04,16,0.027349412099517762
2011-04,17,0.06706644947843382
2011-04,18,0.0942631803314699
2011-04,19,0.03547736840793093
2011-05,0,0.08977074027468979
2011-05,1,0.06767548025153262
2011-05,2,0.06649051580023546
2011-05,3,0.08152747659431082
2011-05,4,0.03414938426773793
2011-05,5,0.05652094186484663
2011-05,6,0.013030772730663802
2011-05,7,0.04033827560212311
2011-05,8,0.12227731370709108
2011-05,9,0.0034465274642485784
2011-05,10,0.03914026828411603
2011-05,11,0.010967589672944863
2011-05,12,0.024685516833918775
2011-05,13,0.03383139966466816
2011-05,14,0.02653726377609132
2011-05,15,0.0810643349117465
2011-05,16,0.03291407475537228
2011-05,17,0.04948931236885192
2011-05,18,0.09039260221294178
2011-05,19,0.035750208961868646
2011-06,0,0.05449192434009566
2011-06,1,0.06545837370997647
2011-06,2,0.03925705391180934
2011-06,3,0.11400989236699428
2011-06,4,0.04415744601168282
2011-06,5,0.020050014020954954
2011-06,6,0.008892607261531509
2011-06,7,0.03861726268822598
2011-06,8,0.12307730660335169
2011-06,9,0.024825728052273018
2011-06,10,0.03481867413600757
2011-06,11,0.010428570639456477
2011-06,12,0.031766696811529334
2011-06,13,0.0391630806230998
2011-06,14,0.027692997666159968
2011-06,15,0.1083165693121192
2011-06,16,0.04388229245880616
2011-06,17,0.04677875376843163
2011-06,18,0.10298398964949673
2011-06,19,0.021330765967997337
2011-07,0,0.07027477989363748
2011-07,1,0.05267370087972075
2011-07,2,0.0676258825758201
2011-07,3,0.11000049730901867
2011-07,4,0.030703901122098882
2011-07,5,0.015685127529408777
2011-07,6,0.01870177580143483
2011-07,7,0.024919112646843017
2011-07,8,0.1702233516295021
2011-07,9,0.009185907975729655
2011-07,10,0.05702289520428868
2011-07,11,0.010171992859966941
2011-07,12,0.02519009867846011
2011-07,13,0.02431119638775262
2011-07,14,0.035501906356612135
2011-07,15,0.07584016184256263
2011-07,16,0.03212347863942568
2011-07,17,0.02306618219313773
2011-07,18,0.11100426058653008
2011-07,19,0.03577378988804913
2011-08,0,0.06479253759954955
2011-08,1,0.04139796410159537
2011-08,2,0.049964237177475876
2011-08,3,0.12387097913482405
2011-08,4,0.028854184552366383
2011-08,5,0.02143365631556838
2011-08,6,0.010284765700167958
2011-08,7,0.024302557818096822
2011-08,8,0.12421988991498432
2011-08,9,0.010590235612180008
2011-08,10,0.06971354158560412
2011-08,11,0.00630998852115385
2011-08,12,0.017460915558728616
2011-08,13,0.06268715081323728
2011-08,14,0.04546079349083834
2011-08,15,0.08637781943349708
2011-08,16,0.04081639687355154
2011-08,17,0.05639652277021744
2011-08,18,0.06966074152273856
2011-08,19,0.04540512150362441
2011-09,0,0.05326156125040074
2011-09,1,0.057676123165665644
2011-09,2,0.08770988640597699
2011-09,3,0.11716286625291254
2011-09,4,0.027627934021092638
2011-09,5,0.030200678668412886
2011-09,6,0.005235321457389421
2011-09,7,0.06357300053618246
2011-09,8,0.1000484389183905
2011-09,9,0.020563114493652675
2011-09,10,0.03333773499440419
2011-09,11,0.016444846809744968
2011-09,12,0.029348447639193864
2011-09,13,0.031346995720093085
