doc_num,0,1,2,3,4,5,6,7,8,9
0,0.39185596066492595,0.2636877851567126,0.3159296496813981,0.04100991130095145,-0.12186528118612541,-0.012980738427823066,-0.008220828088782967,0.22467188169979727,-0.005211530115596465,0.00710934253280759
1,-0.10562399588489818,-0.036931059778526905,-0.006911646387269499,-0.01628442824860884,-0.16461223601701597,0.14081062864994554,-0.10562374833531618,0.17470898133160725,0.06516023782220172,0.028805036417557883
2,0.16349929636601818,-0.1885708087479702,-0.1874430410219364,0.0041901669255782256,0.240386277247459,-0.05951868002781838,-0.027231397109516796,-0.117300619569958,0.040344885047942515,-0.07206986101429855
3,0.06445893564259658,-0.156619230068907,-0.06918975386139099,-0.06933931750669121,0.1124359309207194,-0.06410907579733394,-0.09382227898393392,-0.003067330491800728,0.21587817360614578,-0.11267433280380516
4,0.09387425470475363,-0.21083965274895455,-0.16609049856303917,-0.017789563338283083,0.08576028284866734,0.035123419797412674,0.017508391966109954,-0.06508391439017312,-0.04898380307128782,-0.048856211616703886
5,0.46264264532119503,0.04232824278577294,0.2877094656871584,0.11186100815541562,0.08255969021970919,-0.032480969815606296,-0.019551755843314953,0.10423470692566583,-0.09011410816137871,-0.073419012036132
6,-0.05297949477689538,-0.40596988202611645,-0.16554518452614186,0.1990633064852599,0.2730489225086794,0.0720028495565645,-0.30307361045036535,0.186445047020601,-0.12208462313066687,-0.10912871503534119
7,0.36828351047672797,0.17963929615700877,0.28078964366198494,0.14307568650412364,0.008515587090444043,0.029518171352686796,-0.06833056165255644,0.060942484991843265,-0.16687393903513176,-0.012511358762719596
8,0.12789213252945403,-0.18564567914930616,-0.17431768403561848,-0.1194543065956098,0.08042933506536479,0.024075713224414978,0.04590179655092447,-0.04626874355243048,-0.06503808646480073,-0.0880531358816965
9,0.2213846395490211,0.09238183405274689,0.10196252995158663,-0.05060050047427614,0.0016114317581179993,-0.10373837995338815,-0.03197241526855272,-0.06360018515453167,-0.012821003964366877,0.0017742930996671432
10,-0.08575328904133937,0.07764288810664582,0.04744052901712353,-0.047931920105517174,0.375815198820069,0.22503519180848605,0.2200591290753803,0.04156742330638246,0.2828893618687409,0.031290583462235955
11,0.08801968246152136,0.05266932805507186,-0.17183966627334973,-0.03782020324603975,0.07508119921919869,-0.21314184881430143,0.16307308873161538,-0.07101951315016768,0.0363579770165483,-0.0360045046975478
